# Pharos pharos.watch | Endpoint: peg-mechanism-distribution | As of: 2026-07-08T08:00:33.000Z | URL: https://pharos.watch/datasets/peg-mechanism-distribution/latest.csv | Methodology: safety-score v8.13 | Freshness: point-in-time sample; not guaranteed to track production freshness
mechanismArchetype,mechanismLabel,pegReferenceId,jurisdiction,coinCount
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Indonesia,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Turkey,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Panama,2
unknown,Unknown,unknown,Turkey,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,United Arab Emirates,2
unknown,Unknown,unknown,United States,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Germany,2
rwa-credit-fund,Tokenized Credit Fund,unknown,Marshall Islands,2
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Mexico,2
fiat-cash,Custodial Cash and Cash-Equivalents,usdt-tether,Panama,1
cdp,Crypto-Collateralized (CDP),usdc-circle,unknown,1
synthetic-delta-neutral,Hedged Synthetic Dollar,usd1-world-liberty-financial,unknown,1
cdp,Crypto-Collateralized (CDP),dai-makerdao,unknown,1
rwa-credit-fund,Tokenized Credit Fund,usdc-circle,unknown,1
cdp,Crypto-Collateralized (CDP),unknown,Dominica,1
cdp,Crypto-Collateralized (CDP),usdd-tron-dao-reserve,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Cayman Islands,1
rwa-credit-fund,Tokenized Credit Fund,usdai-usd-ai,Cayman Islands,1
tbill,Tokenized Treasury,usd0-usual,unknown,1
rwa-credit-fund,Tokenized Credit Fund,cusd-cap,unknown,1
cdp,Crypto-Collateralized (CDP),crvusd-curve,unknown,1
cdp,Crypto-Collateralized (CDP),dola-inverse-finance,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Bermuda,1
synthetic-delta-neutral,Hedged Synthetic Dollar,usdf-astherus,unknown,1
tbill,Tokenized Treasury,unknown,Cayman Islands,1
tbill,Tokenized Treasury,frxusd-frax,unknown,1
rwa-credit-fund,Tokenized Credit Fund,unknown,UAE,1
synthetic-delta-neutral,Hedged Synthetic Dollar,avusd-avant,British Virgin Islands,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Cayman Islands,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Kyrgyz Republic,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Antigua and Barbuda,1
algorithmic,Reflexive / Unbacked,unknown,United States,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Singapore,1
tbill,Tokenized Treasury,usdo-openeden,Bermuda,1
tbill,Tokenized Treasury,unknown,Hong Kong,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Luxembourg,1
tbill,Tokenized Treasury,unknown,Brazil,1
cdp,Crypto-Collateralized (CDP),unknown,El Salvador,1
synthetic-delta-neutral,Hedged Synthetic Dollar,yusd-aegis,British Virgin Islands,1
cdp,Crypto-Collateralized (CDP),fxusd-f-x-protocol,unknown,1
cdp,Crypto-Collateralized (CDP),unknown,Switzerland,1
cdp,Crypto-Collateralized (CDP),unknown,Cayman Islands,1
rwa-credit-fund,Tokenized Credit Fund,usn-noon,unknown,1
cdp,Crypto-Collateralized (CDP),unknown,Croatia,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Panama,1
cdp,Crypto-Collateralized (CDP),yzusd-yuzu,Georgia,1
tbill,Tokenized Treasury,unknown,Singapore,1
tbill,Tokenized Treasury,unknown,Union of Comoros,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Norway,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Singapore,1
unknown,Unknown,unknown,Marshall Islands,1
unknown,Unknown,dusd-dtrinity,unknown,1
tbill,Tokenized Treasury,unknown,Germany,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Germany,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Luxembourg,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Germany,1
unknown,Unknown,unknown,France,1
tbill,Tokenized Treasury,unknown,Panama,1
rwa-credit-fund,Tokenized Credit Fund,rusd-reservoir,unknown,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Kazakhstan,1
unknown,Unknown,unknown,El Salvador,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Cayman Islands,1
unknown,Unknown,unknown,Liechtenstein,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Finland,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,South Africa,1
cdp,Crypto-Collateralized (CDP),unknown,Singapore,1
tbill,Tokenized Treasury,unknown,Mexico,1
tbill,Tokenized Treasury,unknown,Marshall Islands,1
synthetic-delta-neutral,Hedged Synthetic Dollar,unknown,Marshall Islands,1
cdp,Crypto-Collateralized (CDP),zsd-zephyr-protocol,unknown,1
synthetic-delta-neutral,Hedged Synthetic Dollar,usdc-circle,British Virgin Islands,1
rwa-credit-fund,Tokenized Credit Fund,aid-gaib,Singapore,1
rwa-credit-fund,Tokenized Credit Fund,apxusd-apyx,British Virgin Islands,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Seychelles,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Nigeria,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Argentina,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Chile,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Colombia,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Peru,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Malaysia,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,India,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Cyprus / Lithuania,1
rwa-credit-fund,Tokenized Credit Fund,unknown,Bermuda,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Georgia,1
fiat-cash,Custodial Cash and Cash-Equivalents,unknown,Israel,1
